Number	Run	BioSample	host_disease_status	host_sex
1	ERR9452453	SAMEA13818288	Control	male
2	ERR9452454	SAMEA13818289	Control	male
3	ERR9452457	SAMEA13818292	Control	male
4	ERR9452459	SAMEA13818294	Control	male
5	ERR9452464	SAMEA13818299	Control	male
6	ERR9452465	SAMEA13818300	Control	male
7	ERR9452484	SAMEA13818319	Control	male
1	SRR16303365	SAMN22233344	Control	male
2	SRR16303454	SAMN22233441	Control	male
3	SRR16303455	SAMN22233440	Control	male
4	SRR16303457	SAMN22233438	Control	male
5	SRR16303458	SAMN22233437	Control	male
6	SRR16303459	SAMN22233436	Control	male
7	SRR16303462	SAMN22233434	Control	male
8	SRR16303463	SAMN22233433	Control	male
9	SRR16303464	SAMN22233432	Control	male
10	SRR16303465	SAMN22233431	Control	male
11	SRR16303466	SAMN22233430	Control	male
12	SRR16303467	SAMN22233429	Control	male
13	SRR16303468	SAMN22233428	Control	male
14	SRR16303469	SAMN22233427	Control	male
15	SRR16303470	SAMN22233426	Control	male
16	SRR16303471	SAMN22233425	Control	male
17	SRR16303473	SAMN22233424	Control	male
18	SRR16303474	SAMN22233423	Control	male
19	SRR16303478	SAMN22233419	Control	male
20	SRR16303479	SAMN22233418	Control	male
21	SRR16303480	SAMN22233417	Control	male
22	SRR16303481	SAMN22233416	Control	male
23	SRR16303484	SAMN22233414	Control	male
24	SRR16303503	SAMN22233396	Control	male
25	SRR16303515	SAMN22233385	Control	male
26	SRR16303519	SAMN22233382	Control	male
27	SRR16303521	SAMN22233380	Control	male
28	SRR16303528	SAMN22233374	Control	male
29	SRR16303531	SAMN22233371	Control	male
30	SRR16303533	SAMN22233369	Control	male
31	SRR16303540	SAMN22233363	Control	male
32	SRR16303542	SAMN22233361	Control	male
33	SRR16303546	SAMN22233357	Control	male
34	SRR16303554	SAMN22233350	Control	male
35	SRR16303558	SAMN22233346	Control	male
36	SRR16303559	SAMN22233345	Control	male
				
